Variable_ID,Variable_Name,Table_ID,Table_Name,Unit
uk039005,Provision of unpaid care: Provides 35 to 49 hours unpaid care a week,uk039,Provision of unpaid care,Person
uk039006,Provision of unpaid care: Provides 50 or more hours unpaid care a week,uk039,Provision of unpaid care,Person
uk044001,Accommodation type: Total: All households,uk044,Accommodation type,Household
uk044002,Accommodation type: Detached,uk044,Accommodation type,Household
uk044003,Accommodation type: Semi-detached,uk044,Accommodation type,Household
uk044004,Accommodation type: Terraced,uk044,Accommodation type,Household
uk044005,Accommodation type: In a purpose-built block of flats or tenement,uk044,Accommodation type,Household
uk044006,"Accommodation type: Part of a converted or shared house, including bedsits",uk044,Accommodation type,Household
uk044007,"Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop",uk044,Accommodation type,Household
uk044008,Accommodation type: A caravan or other mobile or temporary structure,uk044,Accommodation type,Household
uk045001,Number of cars or vans: Total: All households,uk045,Number of cars or vans,Household
uk045002,Number of cars or vans: No cars or vans in household,uk045,Number of cars or vans,Household
uk045003,Number of cars or vans: 1 car or van in household,uk045,Number of cars or vans,Household
uk045004,Number of cars or vans: 2 cars or vans in household,uk045,Number of cars or vans,Household
uk045005,Number of cars or vans: 3 or more cars or vans in household,uk045,Number of cars or vans,Household
uk046001,Type of central heating in household: Total: All households,uk046,Type of central heating in household,Household
uk046002,Type of central heating in household: No central heating,uk046,Type of central heating in household,Household
uk046003,Type of central heating in household: Mains gas only,uk046,Type of central heating in household,Household
uk046004,Type of central heating in household: Tank or bottled gas only,uk046,Type of central heating in household,Household
uk046005,Type of central heating in household: Electric only,uk046,Type of central heating in household,Household
uk046006,Type of central heating in household: Oil only,uk046,Type of central heating in household,Household
uk046007,Type of central heating in household: Wood only,uk046,Type of central heating in household,Household
uk046008,Type of central heating in household: Solid fuel only,uk046,Type of central heating in household,Household
uk046009,Type of central heating in household: Renewable energy only,uk046,Type of central heating in household,Household
uk046010,Type of central heating in household: Other central heating only,uk046,Type of central heating in household,Household
uk046011,Type of central heating in household: Two or more types of central heating,uk046,Type of central heating in household,Household
uk054001,Tenure of household: Total: All households,uk054,Tenure of household,Household
uk054002,Tenure of household: Owned (Including Shared Ownership),uk054,Tenure of household,Household
uk054003,Tenure of household: Owned: Owns outright,uk054,Tenure of household,Household
uk054004,"Tenure of household: Owned: Owns with a mortgage, loan or shared ownership",uk054,Tenure of household,Household
uk054005,Tenure of household: Social rented,uk054,Tenure of household,Household
uk054006,Tenure of household: Private rented,uk054,Tenure of household,Household
uk054007,Tenure of household: Private rented: Private landlord or letting agency,uk054,Tenure of household,Household
uk054008,Tenure of household: Private rented: Other private rented,uk054,Tenure of household,Household
uk054009,Tenure of household: Lives rent free,uk054,Tenure of household,Household
uk059001,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,uk059,Hours worked,Person
uk059002,Hours worked: Part-time,uk059,Hours worked,Person
uk059003,Hours worked: Part-time: 15 hours or less worked,uk059,Hours worked,Person
uk059004,Hours worked: Part-time: 16 to 30 hours worked,uk059,Hours worked,Person
uk059005,Hours worked: Full-time,uk059,Hours worked,Person
uk059006,Hours worked: Full-time: 31 to 48 hours worked,uk059,Hours worked,Person
uk059007,Hours worked: Full-time: 49 or more hours worked,uk059,Hours worked,Person
uk061001,Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census,uk061,Method of travel to workplace,Person
uk061002,Method of travel to workplace: Work mainly at or from home,uk061,Method of travel to workplace,Person
uk061003,"Method of travel to workplace: Underground, metro, light rail, tram",uk061,Method of travel to workplace,Person
uk061004,Method of travel to workplace: Train,uk061,Method of travel to workplace,Person
uk061005,"Method of travel to workplace: Bus, minibus or coach",uk061,Method of travel to workplace,Person
uk061006,Method of travel to workplace: Taxi,uk061,Method of travel to workplace,Person
uk061007,"Method of travel to workplace: Motorcycle, scooter or moped",uk061,Method of travel to workplace,Person
uk061008,Method of travel to workplace: Car or van,uk061,Method of travel to workplace,Person
uk061009,Method of travel to workplace: Bicycle,uk061,Method of travel to workplace,Person
uk061010,Method of travel to workplace: On foot,uk061,Method of travel to workplace,Person
uk061011,Method of travel to workplace: Other method of travel to work,uk061,Method of travel to workplace,Person
